Designator,Mid X,Mid Y,Rotation,Layer
C1,159.7,-66.35,180.0,top
C2,111.6,-92.0,0.0,top
C3,103.6,-91.4,90.0,top
C4,182.9,-59.5,0.0,top
C5,182.8,-69.8,0.0,top
C6,185.5,-80.3,0.0,top
C7,197.6,-92.3,270.0,top
C8,175.0,-60.6,0.0,top
Q1,138.6625,-62.75,180.0,top
Q2,122.6,-91.4625,90.0,top
Q3,116.15,-91.6625,90.0,top
R1,119.15,-59.8,0.0,top
R2,119.15,-61.75,0.0,top
R3,119.15,-63.7,0.0,top
R4,199.45,-68.0,0.0,top
R5,107.6,-91.4,90.0,top
R6,105.6,-91.4,90.0,top
R7,113.0,-95.95,90.0,top
R8,114.3,-60.75,90.0,top
R9,113.05,-101.6,270.0,top
SDCARD1,210.0,-65.6,270.0,top
U2,160.3,-62.45,270.0,top
U3,188.95,-63.0,0.0,top
U4,188.920101,-72.627003,0.0,top
U5,191.1,-84.2625,0.0,top
U6,192.65,-97.835,270.0,top
U7,169.0,-62.45,270.0,top
